;י;ק;ד;ו;ב;צ;ץ;ז;ש;ך;ט;ג;ן;ר;ח;נ;ס;מ;ל;כ;ה;ת;ף;ם;פ;ע;א
י;1.0;0.5974088411225302;0.7619130854833824;0.6374580516679043;0.28136382767773704;0.30617871980372413;0.6843555946009428;0.6838635753095595;0.2879238669722618;0.5214588196216094;0.33088308765632457;0.35757532903236877;0.5747716327598876;0.6569583396674552;0.590067637109828;0.3244503436413828;0.36948687273217606;0.3898906670975303;0.5017600083877707;0.4103821494554285;0.593078712771842;0.4179932872004225;0.61746449815016;0.2821739555627796;0.3730019722529254;0.3707526841599279;0.4131244671794807
ק;0.5974088411225302;1.0;0.812255588519162;0.5774221647404674;0.45304793976698965;0.44745617116345315;0.858698325117004;0.6823639144846154;0.45177525119071926;0.6372005711430416;0.4675918404041107;0.410584787599235;0.6270314842734445;0.6840862714952698;0.7948925791198906;0.372115637576113;0.5574377459331036;0.5672647140584108;0.5895878027771424;0.5567448127107057;0.7867505066967878;0.6381653816941635;0.7917676980565396;0.4941593839861804;0.5597276692210549;0.45848120890630306;0.5751767093805118
ד;0.7619130854833824;0.812255588519162;1.0;0.6325904930559807;0.38618913088295725;0.39117139629629594;0.8370370315673669;0.699410724820625;0.3726698329352205;0.6928201850495143;0.40267067519522237;0.3963369064758966;0.6337023579654252;0.7883608778074936;0.732575925515699;0.35342404261944094;0.47871054162353965;0.4909652842348967;0.6241017712975927;0.5100552576616553;0.7460794605455844;0.5410979818054401;0.8376773023677352;0.40485104553863227;0.47772870982842575;0.4177819488769057;0.5080412745356859
ו;0.6374580516679043;0.5774221647404674;0.6325904930559807;1.0;0.6056922230272995;0.6163262524739079;0.5718185116979618;0.7765682906817015;0.5552392572462939;0.4998693404235516;0.623444656308658;0.7129685086751474;0.8670746647153476;0.6481307874459278;0.6857542471362639;0.6804716004470315;0.6396474602129488;0.6611759811935858;0.2697859358061677;0.7253934890830592;0.7202127196067467;0.6416081725648914;0.5419470282984337;0.5554320465666145;0.6451460094533884;0.6749306088882712;0.6468750781475165
ב;0.28136382767773704;0.45304793976698965;0.38618913088295725;0.6056922230272995;1.0;0.8703136489808703;0.36765284996186187;0.5109802318316701;0.758483899926434;0.35166120908534226;0.7995909380567625;0.8053144283333602;0.6687314680293857;0.43900121565368966;0.5889648752294294;0.7747222401212857;0.8273420590008376;0.8151629115440958;0.0587883371361525;0.8689198851245451;0.6166927442285461;0.7483256147922703;0.37400527918398563;0.8373625809244003;0.8206506183374351;0.7743243535642483;0.7399891121924329
צ;0.30617871980372413;0.44745617116345315;0.39117139629629594;0.6163262524739079;0.8703136489808703;1.0;0.3737525721241959;0.5205348610147811;0.850904338500217;0.31455076229676704;0.8709051663945286;0.8121038472908367;0.648879427260453;0.4334360671319577;0.6171340377805472;0.7751111823282286;0.8752068667802625;0.8601988872011135;0.049415325266034205;0.8306594851684038;0.6236318683142029;0.7785448254736924;0.361616380496794;0.8734097013737885;0.8577700045175982;0.855021077304234;0.8167451499787213
ץ;0.6843555946009428;0.858698325117004;0.8370370315673669;0.5718185116979618;0.36765284996186187;0.3737525721241959;1.0;0.724941732325405;0.38677567969178717;0.5727973233559014;0.40845616901072046;0.3601814555499274;0.5991867734991307;0.6380539214396379;0.7282806499713672;0.3294148122707643;0.47999557224416023;0.4970445906576917;0.6379317970285425;0.4800826442030024;0.7045128042947111;0.5609623023157289;0.7333161175057954;0.40329335648314546;0.48829790204716017;0.4122478527813771;0.508210742539598
ז;0.6838635753095595;0.6823639144846154;0.699410724820625;0.7765682906817015;0.5109802318316701;0.5205348610147811;0.724941732325405;1.0;0.5155148534131445;0.47353901264711606;0.5658625242611794;0.5644888017076681;0.7922895157682456;0.5895885952341653;0.7193475135551964;0.5519564479169214;0.595522413701133;0.6243997909131034;0.3915954242642359;0.6235898590537656;0.7107605888147068;0.6442471937112462;0.571690774403174;0.5016390406606461;0.6153030654829084;0.5943188628978222;0.6083113150097859
ש;0.2879238669722618;0.45177525119071926;0.3726698329352205;0.5552392572462939;0.758483899926434;0.850904338500217;0.38677567969178717;0.5155148534131445;1.0;0.24874400936947205;0.9041145790424322;0.7043089209232594;0.5840851609557475;0.3750187225534435;0.6270436227708903;0.6863638348469961;0.8578228000215224;0.8593598460606868;0.047135506688148476;0.7333204155422856;0.6028843013348268;0.8097396406057857;0.3293441154750094;0.8431263438771552;0.8571532913996193;0.8465498697650344;0.8555478839129025
ך;0.5214588196216094;0.6372005711430416;0.6928201850495143;0.4998693404235516;0.35166120908534226;0.31455076229676704;0.5727973233559014;0.47353901264711606;0.24874400936947205;1.0;0.2827469279835727;0.3248822374901792;0.5277868513288257;0.7976162274857956;0.5526452785053035;0.2711339386934686;0.37900473563691983;0.3772381135344285;0.5359184291511883;0.456046725003147;0.6184572080953747;0.41382569747927667;0.8146778195037561;0.3368450758586481;0.36744834676492233;0.28895625203345376;0.37487829700857334
ט;0.33088308765632457;0.4675918404041107;0.40267067519522237;0.623444656308658;0.7995909380567625;0.8709051663945286;0.40845616901072046;0.5658625242611794;0.9041145790424322;0.2827469279835727;1.0;0.781479836318052;0.6483348235934847;0.41108480486329346;0.640937332927247;0.7651239230492648;0.8609019129927383;0.8809750556815333;0.06449903580320837;0.7916343572709188;0.6314617004709417;0.8121706003044531;0.3522806375890716;0.8142128764960467;0.8706382962066952;0.9210195995412128;0.8517485850029893
ג;0.35757532903236877;0.410584787599235;0.3963369064758966;0.7129685086751474;0.8053144283333602;0.8121038472908367;0.3601814555499274;0.5644888017076681;0.7043089209232594;0.3248822374901792;0.781479836318052;1.0;0.7199507257524118;0.449790836298403;0.5655043026094124;0.9255544834053407;0.7421630082583723;0.7522706959271868;0.03750254942871678;0.8230233276663835;0.5937113614104883;0.6739313082981178;0.3469951808345729;0.7006377925135179;0.7439192688714739;0.8273517275951424;0.7033268114524676
ן;0.5747716327598876;0.6270314842734445;0.6337023579654252;0.8670746647153476;0.6687314680293857;0.648879427260453;0.5991867734991307;0.7922895157682456;0.5840851609557475;0.5277868513288257;0.6483348235934847;0.7199507257524118;1.0;0.6337545837421755;0.7061875593172702;0.6945060699294556;0.6927061017759739;0.7114761979392428;0.2945228819280342;0.7851302661367583;0.745115974138757;0.6969154060967904;0.5653006647539714;0.6131032313867895;0.7040145547037175;0.6795585925597942;0.6657243986689905
ר;0.6569583396674552;0.6840862714952698;0.7883608778074936;0.6481307874459278;0.43900121565368966;0.4334360671319577;0.6380539214396379;0.5895885952341653;0.3750187225534435;0.7976162274857956;0.41108480486329346;0.449790836298403;0.6337545837421755;1.0;0.6826709382289744;0.39160560416865753;0.4902642325642478;0.49306432848538406;0.4850051249118078;0.5583862487309235;0.7447333937881977;0.5228908271632208;0.8179962323342247;0.4336812407846118;0.4768565267471001;0.4298613112877385;0.5105218620745023
ח;0.590067637109828;0.7948925791198906;0.732575925515699;0.6857542471362639;0.5889648752294294;0.6171340377805472;0.7282806499713672;0.7193475135551964;0.6270436227708903;0.5526452785053035;0.640937332927247;0.5655043026094124;0.7061875593172702;0.6826709382289744;1.0;0.5203427848441948;0.7171547984155977;0.7289317048670548;0.40870947841278205;0.6931144040387149;0.9094677887989548;0.791475921701425;0.6807645144729215;0.6439298704052465;0.7127984011430516;0.6374882780036957;0.7641081415720253
נ;0.3244503436413828;0.372115637576113;0.35342404261944094;0.6804716004470315;0.7747222401212857;0.7751111823282286;0.3294148122707643;0.5519564479169214;0.6863638348469961;0.2711339386934686;0.7651239230492648;0.9255544834053407;0.6945060699294556;0.39160560416865753;0.5203427848441948;1.0;0.7077241076316265;0.7219027206485963;0.0;0.7737523595528029;0.5427070216182623;0.6415115164426015;0.2956858941833872;0.6667329346237438;0.718275732076151;0.8099860704045477;0.6630390693925314
ס;0.36948687273217606;0.5574377459331036;0.47871054162353965;0.6396474602129488;0.8273420590008376;0.8752068667802625;0.47999557224416023;0.595522413701133;0.8578228000215224;0.37900473563691983;0.8609019129927383;0.7421630082583723;0.6927061017759739;0.4902642325642478;0.7171547984155977;0.7077241076316265;1.0;0.9585289855633116;0.15382095562687215;0.8442509352013083;0.710375161723864;0.8975375701967557;0.44829970861739743;0.9024757198884181;0.9590815233938337;0.8250262636512637;0.8881033298746851
מ;0.3898906670975303;0.5672647140584108;0.4909652842348967;0.6611759811935858;0.8151629115440958;0.8601988872011135;0.4970445906576917;0.6243997909131034;0.8593598460606868;0.3772381135344285;0.8809750556815333;0.7522706959271868;0.7114761979392428;0.49306432848538406;0.7289317048670548;0.7219027206485963;0.9585289855633116;1.0;0.1629193705381261;0.8467882741630441;0.7197730604876835;0.9107349528124684;0.45092681879963115;0.8656231653381424;0.9707109193285501;0.8477219045765063;0.8977826334837947
ל;0.5017600083877707;0.5895878027771424;0.6241017712975927;0.2697859358061677;0.0587883371361525;0.049415325266034205;0.6379317970285425;0.3915954242642359;0.047135506688148476;0.5359184291511883;0.06449903580320837;0.03750254942871678;0.2945228819280342;0.4850051249118078;0.40870947841278205;0.0;0.15382095562687215;0.1629193705381261;1.0;0.17037774564462072;0.40800955115975657;0.23001817083911136;0.6372363896115391;0.09213137656885795;0.15563074224711626;0.06627190342791944;0.17531570604069102
כ;0.4103821494554285;0.5567448127107057;0.5100552576616553;0.7253934890830592;0.8689198851245451;0.8306594851684038;0.4800826442030024;0.6235898590537656;0.7333204155422856;0.456046725003147;0.7916343572709188;0.8230233276663835;0.7851302661367583;0.5583862487309235;0.6931144040387149;0.7737523595528029;0.8442509352013083;0.8467882741630441;0.17037774564462072;1.0;0.7310053832046111;0.7979856051514697;0.486363105523408;0.7941614019046719;0.8389367369815783;0.7918163805155238;0.7843701336134363
ה;0.593078712771842;0.7867505066967878;0.7460794605455844;0.7202127196067467;0.6166927442285461;0.6236318683142029;0.7045128042947111;0.7107605888147068;0.6028843013348268;0.6184572080953747;0.6314617004709417;0.5937113614104883;0.745115974138757;0.7447333937881977;0.9094677887989548;0.5427070216182623;0.710375161723864;0.7197730604876835;0.40800955115975657;0.7310053832046111;1.0;0.7681058778036232;0.7172897331578523;0.6414634898922686;0.7027845488090586;0.6314010590827507;0.7393216062463042
ת;0.4179932872004225;0.6381653816941635;0.5410979818054401;0.6416081725648914;0.7483256147922703;0.7785448254736924;0.5609623023157289;0.6442471937112462;0.8097396406057857;0.41382569747927667;0.8121706003044531;0.6739313082981178;0.6969154060967904;0.5228908271632208;0.791475921701425;0.6415115164426015;0.8975375701967557;0.9107349528124684;0.23001817083911136;0.7979856051514697;0.7681058778036232;1.0;0.5053635524438149;0.8239328497431451;0.9024501286797979;0.774752351721306;0.8934374462164806
ף;0.61746449815016;0.7917676980565396;0.8376773023677352;0.5419470282984337;0.37400527918398563;0.361616380496794;0.7333161175057954;0.571690774403174;0.3293441154750094;0.8146778195037561;0.3522806375890716;0.3469951808345729;0.5653006647539714;0.8179962323342247;0.6807645144729215;0.2956858941833872;0.44829970861739743;0.45092681879963115;0.6372363896115391;0.486363105523408;0.7172897331578523;0.5053635524438149;1.0;0.3943847738665631;0.4397894933776343;0.35507822564013913;0.4646862503381769
ם;0.2821739555627796;0.4941593839861804;0.40485104553863227;0.5554320465666145;0.8373625809244003;0.8734097013737885;0.40329335648314546;0.5016390406606461;0.8431263438771552;0.3368450758586481;0.8142128764960467;0.7006377925135179;0.6131032313867895;0.4336812407846118;0.6439298704052465;0.6667329346237438;0.9024757198884181;0.8656231653381424;0.09213137656885795;0.7941614019046719;0.6414634898922686;0.8239328497431451;0.3943847738665631;1.0;0.8761758087264298;0.7648559786739985;0.820876097796854
פ;0.3730019722529254;0.5597276692210549;0.47772870982842575;0.6451460094533884;0.8206506183374351;0.8577700045175982;0.48829790204716017;0.6153030654829084;0.8571532913996193;0.36744834676492233;0.8706382962066952;0.7439192688714739;0.7040145547037175;0.4768565267471001;0.7127984011430516;0.718275732076151;0.9590815233938337;0.9707109193285501;0.15563074224711626;0.8389367369815783;0.7027845488090586;0.9024501286797979;0.4397894933776343;0.8761758087264298;1.0;0.8332960914876646;0.8741928973712774
ע;0.3707526841599279;0.45848120890630306;0.4177819488769057;0.6749306088882712;0.7743243535642483;0.855021077304234;0.4122478527813771;0.5943188628978222;0.8465498697650344;0.28895625203345376;0.9210195995412128;0.8273517275951424;0.6795585925597942;0.4298613112877385;0.6374882780036957;0.8099860704045477;0.8250262636512637;0.8477219045765063;0.06627190342791944;0.7918163805155238;0.6314010590827507;0.774752351721306;0.35507822564013913;0.7648559786739985;0.8332960914876646;1.0;0.8277637856136896
א;0.4131244671794807;0.5751767093805118;0.5080412745356859;0.6468750781475165;0.7399891121924329;0.8167451499787213;0.508210742539598;0.6083113150097859;0.8555478839129025;0.37487829700857334;0.8517485850029893;0.7033268114524676;0.6657243986689905;0.5105218620745023;0.7641081415720253;0.6630390693925314;0.8881033298746851;0.8977826334837947;0.17531570604069102;0.7843701336134363;0.7393216062463042;0.8934374462164806;0.4646862503381769;0.820876097796854;0.8741928973712774;0.8277637856136896;1.0
